,,,,,,,,,Inspection information,,,,,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Full inspection,19/03/2019,02/04/2019,10051723,Good,Good,Good
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Monitoring inspection,25/05/2018,13/06/2018,10054254,,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Interim inspection,21/11/2018,10/12/2018,10054253,Not judged,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Full inspection,24/04/2018,21/05/2018,10051057,Inadequate,Inadequate,Inadequate
Children's home,20/04/2016,Active,East of England,East of England,Essex,Witham,Private,Personal Security Service Ltd,Full inspection,12/06/2018,29/06/2018,10051022,Good,Good,Good
Children's home,29/04/2016,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Aspireone Care Ltd,Full inspection,23/10/2018,27/11/2018,10051027,Good,Good,Outstanding
Children's home,08/01/2016,Active,North West,North West,Lancashire,Morecambe and Lunesdale,Private,Kedleston (Wood Grove Childcare) Ltd,Full inspection,15/05/2018,11/06/2018,10050981,Good,Requires improvement to be good,Good
Children's home,08/01/2016,Active,North West,North West,Lancashire,Morecambe and Lunesdale,Private,Kedleston (Wood Grove Childcare) Ltd,Interim inspection,15/03/2019,16/04/2019,10051710,Sustained effectiveness,,
Children's home,29/03/2016,Active,South East,South East,East Sussex,Bexhill and Battle,Private,Anderida Adolescent Care,Full inspection,10/07/2018,31/07/2018,10051011,Outstanding,Good,Outstanding
Children's home,01/04/2016,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,Esland North Limited,Full inspection,16/10/2018,31/10/2018,10051012,Outstanding,Outstanding,Outstanding
Children's home,05/04/2016,Active,;North East, Yorkshire and the Humber;,North East,Middlesbrough,Middlesbrough,Private,Cambian Childcare Limited,Full inspection,24/04/2018,13/07/2018,10051015,Good,Outstanding,Good
Children's home,27/04/2016,Active,North West,North West,Lancashire,Hyndburn,Private,Halliwell Homes Limited,Monitoring inspection,13/08/2018,03/09/2018,10051718,,,
Children's home,27/04/2016,Active,North West,North West,Lancashire,Hyndburn,Private,Halliwell Homes Limited,Monitoring inspection,24/09/2018,12/10/2018,10068316,,,
Children's home,27/04/2016,Active,North West,North West,Lancashire,Hyndburn,Private,Halliwell Homes Limited,Full inspection,30/10/2018,13/11/2018,10021651,Good,Good,Inadequate
Children's home,27/04/2016,Active,North West,North West,Lancashire,Hyndburn,Private,Halliwell Homes Limited,Full inspection,03/07/2018,26/07/2018,10051026,Inadequate,Inadequate,Inadequate
Children's home,27/04/2016,Active,North West,North West,Lancashire,Hyndburn,Private,Halliwell Homes Limited,Monitoring inspection,17/04/2018,30/04/2018,10054019,,,
Children's home,29/02/2016,Active,East Midlands,East Midlands,Leicestershire,Charnwood,Private,Horizon Care And Education Group Limited,Full inspection,06/11/2018,27/11/2018,10051004,Good,Good,Good
Residential special school (registered as a children's home),14/01/2016,Active,East of England,East of England,Cambridgeshire,South Cambridgeshire,Private,Aurora Care and Education Opco Limited,Full inspection,11/12/2018,11/01/2019,10050985,Good,Good,Requires improvement to be good
Children's home,05/09/2016,Active,South East,South East,Oxfordshire,Henley,Local Authority,Oxfordshire County Council,Full inspection,23/07/2018,21/08/2018,10051094,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,05/05/2016,Active,East of England,East of England,Southend on Sea,Southend West,Private,Kites Children Service's Ltd,Full inspection,14/08/2018,05/09/2018,10051029,Good,Good,Good
Children's home,26/04/2016,Active,South East,South East,Surrey,Guildford,Local Authority,Surrey County Council,Full inspection,14/11/2018,17/12/2018,10051023,Good,Requires improvement to be good,Requires improvement to be good
Children's home,05/07/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Beacon Childcare,Interim inspection,08/03/2019,25/03/2019,10051725,Sustained effectiveness,,
Children's home,05/07/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Beacon Childcare,Full inspection,30/08/2018,19/09/2018,10051061,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,05/07/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Beacon Childcare,Monitoring inspection,09/01/2019,25/01/2019,10091626,,,
Children's home,05/07/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Beacon Childcare,Monitoring inspection,20/11/2018,03/12/2018,10085409,,,
Children's home,09/05/2016,Active,East of England,East of England,Bedford,North East Bedfordshire,Private,Cambian Childcare Limited,Full inspection,19/09/2018,09/10/2018,10051031,Good,Good,Good
Children's home,07/06/2016,Active,East of England,East of England,Essex,Harwich and North Essex,Private,Pathways Care Group Limited,Full inspection,26/07/2018,21/08/2018,10051045,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,17/02/2016,Active,South West,South West,Devon,Newton Abbot,Private,One To One Crisis Intervention Ltd,Full inspection,24/09/2018,23/10/2018,10051000,Good,Good,Good
Children's home,08/03/2016,Active,South West,South West,Devon,Newton Abbot,Private,One To One Crisis Intervention Ltd,Full inspection,19/11/2018,11/12/2018,10051006,Good,Good,Good
Children's home,08/08/2016,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,Cove Care - Residential Limited,Full inspection,30/07/2018,20/08/2018,10051076,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,08/08/2016,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,Cove Care - Residential Limited,Interim inspection,20/03/2019,10/04/2019,10051730,Declined effectiveness,,
Children's home,30/06/2016,Active,North West,North West,Blackpool,Blackpool North and Cleveleys,Private,Sandcastle Care Ltd,Full inspection,05/12/2018,15/01/2019,10051060,Outstanding,Outstanding,Outstanding
Children's home,19/01/2017,Active,North West,North West,Liverpool,;Liverpool, Walton;,Private,Courtyard Care Limited,Full inspection,08/11/2018,03/12/2018,10051170,Good,Good,Good
Children's home,04/02/2016,Active,North West,North West,Lancashire,Ribble Valley,Local Authority,Lancashire County Council,Full inspection,28/01/2019,26/02/2019,10050995,Outstanding,Good,Good
Residential Holiday Scheme for Disabled Children,14/10/2016,Active,South East,South East,Hampshire,Meon Valley,Voluntary,Kids,Full inspection,27/04/2018,31/05/2018,10051823,Outstanding,Outstanding,Outstanding
Children's home,13/05/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Selly Oak;,Private,Sherlock Healthcare Services Ltd,Full inspection,26/06/2018,12/07/2018,10051034,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,14/04/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,East Riding of Yorkshire,Brigg and Goole,Private,Cambian Childcare Limited,Full inspection,06/03/2019,04/04/2019,10051020,Good,Good,Requires improvement to be good
Children's home,09/09/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Meadows Care Ltd,Full inspection,08/11/2018,04/12/2018,10051096,Good,Good,Good
Residential Holiday Scheme for Disabled Children,27/06/2016,Active,East of England,East of England,Essex,Brentwood and Ongar,Private,Lambourne End Ltd,Interim inspection,10/01/2019,23/01/2019,10091962,Not judged,,
Children's home,18/05/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Doncaster,Doncaster Central,Private,In Safe Hands Care Ltd,Full inspection,25/09/2018,16/10/2018,10051037,Good,Good,Requires improvement to be good
Children's home,18/05/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Doncaster,Doncaster Central,Private,In Safe Hands Care Ltd,Interim inspection,01/03/2019,25/03/2019,10080878,Improved effectiveness,,
Children's home,08/06/2016,Active,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,Total Care Matters Limited,Full inspection,15/05/2018,18/06/2018,10051046,Good,Good,Good
Children's home,17/03/2016,Active,North West,North West,Bolton,Bolton North East,Voluntary,Birtenshaw - company number 02978546,Full inspection,14/08/2018,03/09/2018,10051009,Good,Good,Good
Children's home,17/03/2016,Active,North West,North West,Bolton,Bolton North East,Voluntary,Birtenshaw - company number 02978546,Monitoring inspection,24/03/2019,09/04/2019,10030397,,,
Children's home,08/07/2016,Active,;North East, Yorkshire and the Humber;,North East,Gateshead,Blaydon,Private,Artemis Support Ltd,Full inspection,18/09/2018,26/10/2018,10051063,Good,Good,Good
Children's home,21/07/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Doncaster,Don Valley,Private,Friends Together Care Homes Ltd,Full inspection,12/09/2018,10/10/2018,10051073,Good,Good,Requires improvement to be good
Children's home,11/02/2017,Active,West Midlands,West Midlands,Solihull,Solihull,Private,Compass Children's Homes Ltd,Full inspection,01/05/2018,05/06/2018,10051188,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,11/02/2017,Active,West Midlands,West Midlands,Solihull,Solihull,Private,Compass Children's Homes Ltd,Interim inspection,12/12/2018,29/01/2019,10051759,Improved effectiveness,,
Children's home,17/10/2016,Active,North West,North West,Cheshire East,Congleton,Private,Compass Children's Homes Ltd,Full inspection,04/07/2018,03/08/2018,10051118,Requires improvement to be good,Requires improvement to be good,Inadequate
Independent Fostering Agency,10/08/2017,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Fusion Fostering Limited,Full inspection,06/08/2018,31/08/2018,10053968,Good,Good,Requires improvement to be good
Children's home,08/08/2016,Active,North West,North West,Bolton,Bolton North East,Voluntary,Birtenshaw - company number 02978546,Full inspection,23/01/2019,13/02/2019,10051077,Good,Good,Good
Further Education College with Residential Accommodation,09/03/2016,Active,South West,South West,Cornwall,St Austell and Newquay,Private,Cornwall College Corporation,Full inspection,03/12/2018,11/01/2019,10029046,Good,Good,Good
Boarding School,16/03/2016,Active,South West,South West,Bournemouth,Bournemouth West,Private,Kings Bournmouth,Full inspection,09/10/2018,18/11/2018,10077987,Good,Good,Good
Children's home,11/10/2016,Active,North West,North West,Cumbria,Carlisle,Private,Active Ark Limited,Full inspection,16/07/2018,10/08/2018,10051115,Inadequate,Inadequate,Inadequate
Children's home,11/10/2016,Active,North West,North West,Cumbria,Carlisle,Private,Active Ark Limited,Monitoring inspection,05/09/2018,26/09/2018,10077660,,,
Children's home,11/10/2016,Active,North West,North West,Cumbria,Carlisle,Private,Active Ark Limited,Full inspection,24/10/2018,27/11/2018,10077659,Good,Good,Requires improvement to be good
Children's home,17/08/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Kirklees,Huddersfield,Private,Time-Out Children's Homes Ltd,Full inspection,17/10/2018,09/11/2018,10051084,Outstanding,Good,Outstanding
Children's home,26/09/2016,Active,South East,South East,Kent,Sittingbourne and Sheppey,Private,Jamores Limited,Full inspection,27/06/2018,02/08/2018,10051104,Requires improvement to be good,Good,Inadequate
Children's home,26/09/2016,Active,South East,South East,Kent,Sittingbourne and Sheppey,Private,Jamores Limited,Interim inspection,18/12/2018,14/01/2019,10051738,Declined effectiveness,,
Children's home,20/09/2016,Active,London,London,Newham,West Ham,Private,Jamores Limited,Interim inspection,25/02/2019,25/03/2019,10051737,Declined effectiveness,,
Children's home,20/09/2016,Active,London,London,Newham,West Ham,Private,Jamores Limited,Full inspection,11/09/2018,09/10/2018,10051101,Good,Good,Good
Children's home,27/05/2016,Active,East Midlands,East Midlands,Leicestershire,Charnwood,Private,Horizon Care And Education Group Limited,Full inspection,26/02/2019,21/03/2019,10051041,Good,Good,Good
Children's home,12/05/2016,Active,East Midlands,East Midlands,Leicestershire,Loughborough,Private,Horizon Care And Education Group Limited,Full inspection,10/12/2018,08/01/2019,10051032,Good,Good,Outstanding
Children's home,04/08/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Calderdale,Halifax,Private,Care 4 Children Residential Services Ltd,Full inspection,03/05/2018,23/05/2018,10051075,Good,Good,Outstanding
Children's home,13/06/2016,Active,;North East, Yorkshire and the Humber;,North East,North Tyneside,North Tyneside,Voluntary,The Percy Hedley Foundation,Full inspection,13/03/2019,05/04/2019,10051051,Good,Requires improvement to be good,Good
Children's home,14/06/2016,Active,;North East, Yorkshire and the Humber;,North East,North Tyneside,North Tyneside,Voluntary,The Percy Hedley Foundation,Full inspection,24/10/2018,12/03/2019,10051053,Good,Good,Requires improvement to be good
Children's home,12/05/2016,Active,South West,South West,Cornwall,North Cornwall,Private,Phoenix Child Care Limited,Full inspection,11/06/2018,05/07/2018,10051033,Good,Good,Good
